"JURISDICTION","YEAR","POPULATION","MURDER","RAPE","ROBBERY","AGG. ASSAULT","B & E","LARCENY THEFT","M/V THEFT","GRAND TOTAL","PERCENT CHANGE","VIOLENT CRIME TOTAL","VIOLENT CRIME PERCENT","VIOLENT CRIME PERCENT CHANGE","PROPERTY CRIME TOTALS","PROPERTY CRIME PERCENT","PROPERTY CRIME PERCENT CHANGE","OVERALL CRIME RATE PER 100,000 PEOPLE","OVERALL PERCENT CHANGE PER 100,000 PEOPLE","VIOLENT CRIME RATE PER 100,000 PEOPLE","VIOLENT CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","PROPERTY CRIME RATE PER 100,000 PEOPLE","PROPERTY CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","MURDER PER 100,000 PEOPLE","RAPE PER 100,000 PEOPLE","ROBBERY PER 100,000 PEOPLE","AGG. ASSAULT PER 100,000 PEOPLE","B & E PER 100,000 PEOPLE","LARCENY THEFT PER 100,000 PEOPLE","M/V THEFT PER 100,000 PEOPLE","MURDER  RATE PERCENT CHANGE PER 100,000 PEOPLE","RAPE RATE PERCENT CHANGE PER 100,000 PEOPLE","ROBBERY RATE PERCENT CHANGE PER 100,000 PEOPLE","AGG. ASSAULT  RATE PERCENT CHANGE PER 100,000 PEOPLE","B & E RATE PERCENT CHANGE PER 100,000 PEOPLE","LARCENY THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE","M/V THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE"
"Carroll County","2009","172,300","2","29","47","315","567","2,055","102","3,117","-4.2%","393","12.6%","9.2%","2,724","87.4%","-5.8%","1,809.1","-5.3%","228.1","7.9%","1,581","-6.9%","1.2","16.8","27.3","182.8","329.1","1,192.7","59.2","97.7%","36.5%","16.2%","4.5%","-6.1%","-6.5%","-18.7%"
"Carroll County","2010","173,047","4","36","40","269","523","2,085","104","3,061","-1.8%","349","11.4%","-11.2%","2,712","88.6%","-0.4%","1,768.9","-2.2%","201.7","-11.6%","1,567.2","-0.9%","2.3","20.8","23.1","155.4","302.2","1,204.9","60.1","99.1%","23.6%","-15.3%","-15%","-8.2%","1%","1.5%"
"Carroll County","2011","168,719","1","26","40","189","517","1,856","94","2,723","-11%","256","9.4%","-26.6%","2,467","90.6%","-9%","1,613.9","-8.8%","151.7","-24.8%","1,462.2","-6.7%","0.6","15.4","23.7","112","306.4","1,100.1","55.7","-74.4%","-25.9%","2.6%","-27.9%","1.4%","-8.7%","-7.3%"
"Carroll County","2012","168,903","3","19","47","237","689","1,948","84","3,027","11.2%","306","10.1%","19.5%","2,721","89.9%","10.3%","1,792.2","11%","181.2","19.4%","1,611","10.2%","1.8","11.2","27.8","140.3","407.9","1,153.3","49.7","199.7%","-27%","17.4%","25.3%","33.1%","4.8%","-10.7%"
"Carroll County","2013","167,529","4","30","33","275","542","1,735","65","2,684","-11.3%","342","12.7%","11.8%","2,342","87.3%","-13.9%","1,602.1","-10.6%","204.1","12.7%","1,398","-13.2%","2.4","17.9","19.7","164.2","323.5","1,035.6","38.8","34.4%","59.2%","-29.2%","17%","-20.7%","-10.2%","-22%"
"Carroll County","2014","167,966","2","19","42","304","536","1,641","49","2,593","-3.4%","367","14.2%","7.3%","2,226","85.8%","-5%","1,543.8","-3.6%","218.5","7%","1,325.3","-5.2%","1.2","11.3","25","181","319.1","977","29.2","-50.1%","-36.8%","26.9%","10.3%","-1.4%","-5.7%","-24.8%"
"Carroll County","2015","167,468","0","33","48","150","414","1,578","52","2,275","-12.3%","231","10.2%","-37.1%","2,044","89.8%","-8.2%","1,358.5","-12%","137.9","-36.9%","1,220.5","-7.9%","0","19.7","28.7","89.6","247.2","942.3","31.1","-100%","74.2%","14.6%","-50.5%","-22.5%","-3.6%","6.4%"
"Carroll County","2016","166,742","2","21","55","178","352","1,584","65","2,257","-0.8%","256","11.3%","10.8%","2,001","88.7%","-2.1%","1,353.6","-0.4%","153.5","11.3%","1,200.1","-1.7%","1.2","12.6","33","106.8","211.1","950","39","119.9%","-36.1%","15.1%","19.2%","-14.6%","0.8%","25.5%"
"Carroll County","2017","167,630","0","38","22","263","328","1,551","82","2,284","1.2%","323","14.1%","26.2%","1,961","85.9%","-2%","1,362.5","0.7%","192.7","25.5%","1,169.8","-2.5%","0","22.7","13.1","156.9","195.7","925.3","48.9","-100%","80%","-60.2%","47%","-7.3%","-2.6%","25.5%"
"Carroll County","2018","166,519","1","33","45","196","216","1,358","93","1,942","-15%","275","14.2%","-14.9%","1,667","85.8%","-15%","1,166.2","-14.4%","165.1","-14.3%","1,001.1","-14.4%","0.6","19.8","27","117.7","129.7","815.5","55.8","60.1%","-12.6%","105.9%","-25%","-33.7%","-11.9%","14.2%"
"Carroll County","2019","167,742","1","37","29","181","213","1,311","72","1,844","-5%","248","13.4%","-9.8%","1,596","86.6%","-4.3%","1,099.3","-5.7%","147.8","-10.5%","951.5","-5%","0.6","22.1","17.3","107.9","127","781.6","42.9","-0.7%","11.3%","-36%","-8.3%","-2.1%","-4.2%","-23.1%"
"Carroll County","2020","168,032","5","36","19","127","164","974","48","1,373","-25.5%","187","13.6%","-24.6%","1,186","86.4%","-25.7%","817.1","-25.7%","111.3","-24.7%","705.8","-25.8%","3","21.4","11.3","75.6","97.6","579.7","28.6","399.1%","-2.9%","-34.6%","-30%","-23.1%","-25.8%","-33.4%"
"Cecil County","1975","53,726","2","18","27","185","836","1,180","145","2,393",,"232","9.7%",,"2,161","90.3%",,"4,454.1",,"431.8",,"4,022.3",,"3.7","33.5","50.3","344.3","1,556","2,196.3","269.9",,,,,,,
"Cecil County","1976","56,320","3","16","32","155","762","1,291","158","2,417","1%","206","8.5%","-11.2%","2,211","91.5%","2.3%","4,291.5","-3.6%","365.8","-15.3%","3,925.8","-2.4%","5.3","28.4","56.8","275.2","1,353","2,292.3","280.5","43.1%","-15.2%","13.1%","-20.1%","-13%","4.4%","3.9%"
"Cecil County","1977","54,901","4","14","22","157","706","1,116","138","2,157","-10.8%","197","9.1%","-4.4%","1,960","90.9%","-11.4%","3,928.9","-8.5%","358.8","-1.9%","3,570.1","-9.1%","7.3","25.5","40.1","286","1,286","2,032.7","251.4","36.8%","-10.2%","-29.5%","3.9%","-5%","-11.3%","-10.4%"
"Cecil County","1978","55,194","1","13","24","141","637","1,046","144","2,006","-7%","179","8.9%","-9.1%","1,827","91.1%","-6.8%","3,634.5","-7.5%","324.3","-9.6%","3,310.1","-7.3%","1.8","23.6","43.5","255.5","1,154.1","1,895.1","260.9","-75.1%","-7.6%","8.5%","-10.7%","-10.3%","-6.8%","3.8%"
"Cecil County","1979","56,486","2","9","28","261","645","1,283","175","2,403","19.8%","300","12.5%","67.6%","2,103","87.5%","15.1%","4,254.2","17.1%","531.1","63.8%","3,723","12.5%","3.5","15.9","49.6","462.1","1,141.9","2,271.4","309.8","95.4%","-32.4%","14%","80.9%","-1.1%","19.9%","18.7%"
"Cecil County","1980","60,113","6","9","29","245","653","1,305","143","2,390","-0.5%","289","12.1%","-3.7%","2,101","87.9%","-0.1%","3,975.8","-6.5%","480.8","-9.5%","3,495.1","-6.1%","10","15","48.2","407.6","1,086.3","2,170.9","237.9","181.9%","-6%","-2.7%","-11.8%","-4.9%","-4.4%","-23.2%"
"Cecil County","1981","61,099","4","11","25","226","803","1,328","175","2,572","7.6%","266","10.3%","-8%","2,306","89.7%","9.8%","4,209.6","5.9%","435.4","-9.4%","3,774.2","8%","6.5","18","40.9","369.9","1,314.3","2,173.5","286.4","-34.4%","20.2%","-15.2%","-9.2%","21%","0.1%","20.4%"
"Cecil County","1982","61,157","1","12","25","212","603","1,386","134","2,373","-7.7%","250","10.5%","-6%","2,123","89.5%","-7.9%","3,880.2","-7.8%","408.8","-6.1%","3,471.4","-8%","1.6","19.6","40.9","346.6","986","2,266.3","219.1","-75%","9%","-0.1%","-6.3%","-25%","4.3%","-23.5%"
"Cecil County","1983","61,713","1","13","23","236","535","1,277","146","2,231","-6%","273","12.2%","9.2%","1,958","87.8%","-7.8%","3,615.1","-6.8%","442.4","8.2%","3,172.8","-8.6%","1.6","21.1","37.3","382.4","866.9","2,069.3","236.6","-0.9%","7.4%","-8.8%","10.3%","-12.1%","-8.7%","8%"
"Cecil County","1984","64,216","2","18","13","262","484","1,135","154","2,068","-7.3%","295","14.3%","8.1%","1,773","85.7%","-9.4%","3,220.4","-10.9%","459.4","3.8%","2,761","-13%","3.1","28","20.2","408","753.7","1,767.5","239.8","92.2%","33.1%","-45.7%","6.7%","-13.1%","-14.6%","1.4%"
"Cecil County","1985","66,143","3","30","22","285","513","1,070","176","2,099","1.5%","340","16.2%","15.3%","1,759","83.8%","-0.8%","3,173.4","-1.5%","514","11.9%","2,659.4","-3.7%","4.5","45.4","33.3","430.9","775.6","1,617.7","266.1","45.6%","61.8%","64.3%","5.6%","2.9%","-8.5%","11%"
"Cecil County","1986","67,238","1","22","15","298","543","1,160","129","2,168","3.3%","336","15.5%","-1.2%","1,832","84.5%","4.2%","3,224.4","1.6%","499.7","-2.8%","2,724.6","2.5%","1.5","32.7","22.3","443.2","807.6","1,725.2","191.9","-67.2%","-27.9%","-32.9%","2.9%","4.1%","6.6%","-27.9%"
"Cecil County","1987","68,584","4","18","31","304","697","1,134","177","2,365","9.1%","357","15.1%","6.3%","2,008","84.9%","9.6%","3,448.3","6.9%","520.5","4.2%","2,927.8","7.5%","5.8","26.2","45.2","443.3","1,016.3","1,653.4","258.1","292.1%","-19.8%","102.6%","0%","25.8%","-4.2%","34.5%"
"Cecil County","1988","70,868","2","14","31","259","677","1,185","170","2,338","-1.1%","306","13.1%","-14.3%","2,032","86.9%","1.2%","3,299.1","-4.3%","431.8","-17%","2,867.3","-2.1%","2.8","19.8","43.7","365.5","955.3","1,672.1","239.9","-51.6%","-24.7%","-3.2%","-17.5%","-6%","1.1%","-7.1%"
"Cecil County","1989","72,922","3","19","28","323","635","1,285","204","2,497","6.8%","373","14.9%","21.9%","2,124","85.1%","4.5%","3,424.2","3.8%","511.5","18.5%","2,912.7","1.6%","4.1","26.1","38.4","442.9","870.8","1,762.2","279.8","45.8%","31.9%","-12.2%","21.2%","-8.8%","5.4%","16.6%"
"Cecil County","1990","71,347","3","20","32","357","727","1,458","216","2,813","12.7%","412","14.6%","10.5%","2,401","85.4%","13%","3,942.7","15.1%","577.5","12.9%","3,365.2","15.5%","4.2","28","44.9","500.4","1,019","2,043.5","302.7","2.2%","7.6%","16.8%","13%","17%","16%","8.2%"
"Cecil County","1991","72,516","2","9","27","356","757","1,651","191","2,993","6.4%","394","13.2%","-4.4%","2,599","86.8%","8.2%","4,127.4","4.7%","543.3","-5.9%","3,584","6.5%","2.8","12.4","37.2","490.9","1,043.9","2,276.7","263.4","-34.4%","-55.7%","-17%","-1.9%","2.4%","11.4%","-13%"
"Cecil County","1992","73,230","0","23","29","319","647","1,521","199","2,738","-8.5%","371","13.6%","-5.8%","2,367","86.4%","-8.9%","3,738.9","-9.4%","506.6","-6.8%","3,232.3","-9.8%","0","31.4","39.6","435.6","883.5","2,077","271.7","-100%","153.1%","6.4%","-11.3%","-15.4%","-8.8%","3.2%"
"Cecil County","1993","75,723","5","13","33","330","629","1,435","167","2,612","-4.6%","381","14.6%","2.7%","2,231","85.4%","-5.7%","3,449.4","-7.7%","503.1","-0.7%","2,946.3","-8.8%","6.6","17.2","43.6","435.8","830.7","1,895.1","220.5","660.3%","-45.3%","10%","0%","-6%","-8.8%","-18.8%"
"Cecil County","1994","76,343","2","18","30","306","499","1,242","160","2,257","-13.6%","356","15.8%","-6.6%","1,901","84.2%","-14.8%","2,956.4","-14.3%","466.3","-7.3%","2,490.1","-15.5%","2.6","23.6","39.3","400.8","653.6","1,626.9","209.6","-60.3%","37.3%","-9.8%","-8%","-21.3%","-14.2%","-5%"
"Cecil County","1995","77,589","2","11","31","287","555","1,620","176","2,682","18.8%","331","12.3%","-7%","2,351","87.7%","23.7%","3,456.7","16.9%","426.6","-8.5%","3,030.1","21.7%","2.6","14.2","40","369.9","715.3","2,087.9","226.8","-1.6%","-39.9%","1.7%","-7.7%","9.4%","28.3%","8.2%"
"Cecil County","1996","78,048","2","13","37","321","587","1,444","140","2,544","-5.1%","373","14.7%","12.7%","2,171","85.3%","-7.7%","3,259.5","-5.7%","477.9","12%","2,781.6","-8.2%","2.6","16.7","47.4","411.3","752.1","1,850.1","179.4","-0.6%","17.5%","18.7%","11.2%","5.1%","-11.4%","-20.9%"
"Cecil County","1997","78,384","1","16","56","327","607","1,524","173","2,704","6.3%","400","14.8%","7.2%","2,304","85.2%","6.1%","3,449.7","5.8%","510.3","6.8%","2,939.4","5.7%","1.3","20.4","71.4","417.2","774.4","1,944.3","220.7","-50.2%","22.5%","50.7%","1.4%","3%","5.1%","23%"
"Cecil County","1998","81,418","5","28","48","382","763","1,657","126","3,009","11.3%","463","15.4%","15.8%","2,546","84.6%","10.5%","3,695.7","7.1%","568.7","11.4%","3,127.1","6.4%","6.1","34.4","59","469.2","937.1","2,035.2","154.8","381.4%","68.5%","-17.5%","12.5%","21%","4.7%","-29.9%"
"Cecil County","1999","83,114","0","22","37","395","693","1,666","153","2,966","-1.4%","454","15.3%","-1.9%","2,512","84.7%","-1.3%","3,568.6","-3.4%","546.2","-3.9%","3,022.4","-3.3%","0","26.5","44.5","475.3","833.8","2,004.5","184.1","-100%","-23%","-24.5%","1.3%","-11%","-1.5%","19%"
"Cecil County","2000","85,951","1","16","50","389","651","1,686","194","2,987","0.7%","456","15.3%","0.4%","2,531","84.7%","0.8%","3,475.2","-2.6%","530.5","-2.9%","2,944.7","-2.6%","1.2","18.6","58.2","452.6","757.4","1,961.6","225.7","116.3%","-29.7%","30.7%","-4.8%","-9.2%","-2.1%","22.6%"
"Cecil County","2001","87,228","0","20","45","384","571","1,771","186","2,977","-0.3%","449","15.1%","-1.5%","2,528","84.9%","-0.1%","3,412.9","-1.8%","514.7","-3%","2,898.2","-1.6%","0","22.9","51.6","440.2","654.6","2,030.3","213.2","-100%","23.2%","-11.3%","-2.7%","-13.6%","3.5%","-5.5%"
"Cecil County","2002","88,574","1","15","43","357","614","1,827","195","3,052","2.5%","416","13.6%","-7.3%","2,636","86.4%","4.3%","3,445.7","1%","469.7","-8.8%","2,976","2.7%","1.1","16.9","48.5","403.1","693.2","2,062.7","220.2","112.9%","-26.1%","-5.9%","-8.4%","5.9%","1.6%","3.2%"
"Cecil County","2003","91,175","4","16","54","381","731","1,777","200","3,163","3.6%","455","14.4%","9.4%","2,708","85.6%","2.7%","3,469.2","0.7%","499","6.3%","2,970.1","-0.2%","4.4","17.5","59.2","417.9","801.8","1,949","219.4","288.6%","3.6%","22%","3.7%","15.7%","-5.5%","-0.4%"
"Cecil County","2004","93,573","2","18","60","351","753","1,940","264","3,388","7.1%","431","12.7%","-5.3%","2,957","87.3%","9.2%","3,620.7","4.4%","460.6","-7.7%","3,160.1","6.4%","2.1","19.2","64.1","375.1","804.7","2,073.2","282.1","-51.3%","9.6%","8.3%","-10.2%","0.4%","6.4%","28.6%"
"Cecil County","2005","96,254","4","11","79","380","836","1,820","278","3,408","0.6%","474","13.9%","10%","2,934","86.1%","-0.8%","3,540.6","-2.2%","492.4","6.9%","3,048.2","-3.5%","4.2","11.4","82.1","394.8","868.5","1,890.8","288.8","94.4%","-40.6%","28%","5.2%","7.9%","-8.8%","2.4%"
"Cecil County","2006","98,064","4","7","102","377","884","1,848","310","3,532","3.6%","490","13.9%","3.4%","3,042","86.1%","3.7%","3,601.7","1.7%","499.7","1.5%","3,102.1","1.8%","4.1","7.1","104","384.4","901.5","1,884.5","316.1","-1.8%","-37.5%","26.7%","-2.6%","3.8%","-0.3%","9.5%"
"Cecil County","2007","100,680","5","16","111","436","1,001","2,141","256","3,966","12.3%","568","14.3%","15.9%","3,398","85.7%","11.7%","3,939.2","9.4%","564.2","12.9%","3,375","8.8%","5","15.9","110.3","433.1","994.2","2,126.5","254.3","21.8%","122.6%","6%","12.6%","10.3%","12.8%","-19.6%"
"Cecil County","2008","100,763","8","15","111","406","1,187","2,314","310","4,351","9.7%","540","12.4%","-4.9%","3,811","87.6%","12.2%","4,318.1","9.6%","535.9","-5%","3,782.1","12.1%","7.9","14.9","110.2","402.9","1,178","2,296.5","307.7","59.9%","-6.3%","-0.1%","-7%","18.5%","8%","21%"
"Cecil County","2009","102,047","2","23","155","566","977","2,439","248","4,410","1.4%","746","16.9%","38.1%","3,664","83.1%","-3.9%","4,321.5","0.1%","731","36.4%","3,590.5","-5.1%","2","22.5","151.9","554.6","957.4","2,390.1","243","-75.3%","51.4%","37.9%","37.7%","-18.7%","4.1%","-21%"
"Cecil County","2010","102,940","6","39","152","476","967","2,263","195","4,098","-7.1%","673","16.4%","-9.8%","3,425","83.6%","-6.5%","3,981","-7.9%","653.8","-10.6%","3,327.2","-7.3%","5.8","37.9","147.7","462.4","939.4","2,198.4","189.4","197.4%","68.1%","-2.8%","-16.6%","-1.9%","-8%","-22.1%"
"Cecil County","2011","102,067","4","28","161","386","898","2,368","175","4,020","-1.9%","579","14.4%","-14%","3,441","85.6%","0.5%","3,938.6","-1.1%","567.3","-13.2%","3,371.3","1.3%","3.9","27.4","157.7","378.2","879.8","2,320","171.5","-32.8%","-27.6%","6.8%","-18.2%","-6.3%","5.5%","-9.5%"
"Cecil County","2012","102,676","2","38","119","390","870","2,365","138","3,922","-2.4%","549","14%","-5.2%","3,373","86%","-2%","3,819.8","-3%","534.7","-5.7%","3,285.1","-2.6%","1.9","37","115.9","379.8","847.3","2,303.4","134.4","-50.3%","34.9%","-26.5%","0.4%","-3.7%","-0.7%","-21.6%"
"Cecil County","2013","102,068","5","26","86","319","806","1,958","111","3,311","-15.6%","436","13.2%","-20.6%","2,875","86.8%","-14.8%","3,243.9","-15.1%","427.2","-20.1%","2,816.7","-14.3%","4.9","25.5","84.3","312.5","789.7","1,918.3","108.8","151.5%","-31.2%","-27.3%","-17.7%","-6.8%","-16.7%","-19.1%"
"Cecil County","2014","102,296","4","38","90","364","614","2,186","92","3,388","2.3%","496","14.6%","13.8%","2,892","85.4%","0.6%","3,312","2.1%","484.9","13.5%","2,827.1","0.4%","3.9","37.1","88","355.8","600.2","2,136.9","89.9","-20.2%","45.8%","4.4%","13.9%","-24%","11.4%","-17.3%"
"Cecil County","2015","102,376","9","31","77","249","569","1,969","123","3,027","-10.7%","366","12.1%","-26.2%","2,661","87.9%","-8%","2,956.7","-10.7%","357.5","-26.3%","2,599.2","-8.1%","8.8","30.3","75.2","243.2","555.8","1,923.3","120.1","124.8%","-18.5%","-14.5%","-31.6%","-7.4%","-10%","33.6%"
"Cecil County","2016","102,033","3","25","70","275","526","1,927","153","2,979","-1.6%","373","12.5%","1.9%","2,606","87.5%","-2.1%","2,919.6","-1.3%","365.6","2.3%","2,554.1","-1.7%","2.9","24.5","68.6","269.5","515.5","1,888.6","150","-66.6%","-19.1%","-8.8%","10.8%","-7.2%","-1.8%","24.8%"
"Cecil County","2017","102,783","3","15","69","235","479","1,549","143","2,493","-16.3%","322","12.9%","-13.7%","2,171","87.1%","-16.7%","2,425.5","-16.9%","313.3","-14.3%","2,112.2","-17.3%","2.9","14.6","67.1","228.6","466","1,507.1","139.1","-0.7%","-40.4%","-2.1%","-15.2%","-9.6%","-20.2%","-7.2%"
"Cecil County","2018","102,148","2","28","87","239","421","1,603","140","2,520","1.1%","356","14.1%","10.6%","2,164","85.9%","-0.3%","2,467","1.7%","348.5","11.2%","2,118.5","0.3%","2","27.4","85.2","234","412.1","1,569.3","137.1","-32.9%","87.8%","26.9%","2.3%","-11.6%","4.1%","-1.5%"
"Cecil County","2019","102,522","2","20","63","221","331","1,610","143","2,390","-5.2%","306","12.8%","-14%","2,084","87.2%","-3.7%","2,331.2","-5.5%","298.5","-14.4%","2,032.7","-4%","2","19.5","61.5","215.6","322.9","1,570.4","139.5","-0.4%","-28.8%","-27.9%","-7.9%","-21.7%","0.1%","1.8%"
"Cecil County","2020","102,707","1","18","37","216","253","1,377","125","2,027","-15.2%","272","13.4%","-11.1%","1,755","86.6%","-15.8%","1,973.6","-15.3%","264.8","-11.3%","1,708.7","-15.9%","1","17.5","36","210.3","246.3","1,340.7","121.7","-50.1%","-10.2%","-41.4%","-2.4%","-23.7%","-14.6%","-12.7%"
"Charles County","1975","55,740","3","11","34","119","572","1,295","131","2,165",,"167","7.7%",,"1,998","92.3%",,"3,884.1",,"299.6",,"3,584.5",,"5.4","19.7","61","213.5","1,026.2","2,323.3","235",,,,,,,
"Charles County","1976","59,758","7","16","32","116","610","1,393","100","2,274","5%","171","7.5%","2.4%","2,103","92.5%","5.3%","3,805.3","-2%","286.2","-4.5%","3,519.2","-1.8%","11.7","26.8","53.5","194.1","1,020.8","2,331.1","167.3","117.6%","35.7%","-12.2%","-9.1%","-0.5%","0.3%","-28.8%"
"Charles County","1977","64,900","1","11","31","118","613","1,330","160","2,264","-0.4%","161","7.1%","-5.8%","2,103","92.9%","0%","3,488.4","-8.3%","248.1","-13.3%","3,240.4","-7.9%","1.5","16.9","47.8","181.8","944.5","2,049.3","246.5","-86.8%","-36.7%","-10.8%","-6.3%","-7.5%","-12.1%","47.3%"
"Charles County","1978","66,193","9","12","37","193","641","1,562","156","2,610","15.3%","251","9.6%","55.9%","2,359","90.4%","12.2%","3,943","13%","379.2","52.9%","3,563.8","10%","13.6","18.1","55.9","291.6","968.4","2,359.8","235.7","782.4%","7%","17%","60.4%","2.5%","15.1%","-4.4%"
"Charles County","1979","67,202","4","12","35","233","704","2,093","173","3,254","24.7%","284","8.7%","13.1%","2,970","91.3%","25.9%","4,842.1","22.8%","422.6","11.4%","4,419.5","24%","6","17.9","52.1","346.7","1,047.6","3,114.5","257.4","-56.2%","-1.5%","-6.8%","18.9%","8.2%","32%","9.2%"
"Charles County","1980","72,343","7","17","39","245","730","2,062","198","3,298","1.4%","308","9.3%","8.5%","2,990","90.7%","0.7%","4,558.8","-5.9%","425.7","0.7%","4,133.1","-6.5%","9.7","23.5","53.9","338.7","1,009.1","2,850.3","273.7","62.6%","31.6%","3.5%","-2.3%","-3.7%","-8.5%","6.3%"
"Charles County","1981","73,530","2","19","47","242","675","2,231","144","3,360","1.9%","310","9.2%","0.6%","3,050","90.8%","2%","4,569.6","0.2%","421.6","-1%","4,148","0.4%","2.7","25.8","63.9","329.1","918","3,034.1","195.8","-71.9%","10%","18.6%","-2.8%","-9%","6.4%","-28.4%"
"Charles County","1982","73,599","4","17","46","232","685","1,975","170","3,129","-6.9%","299","9.6%","-3.5%","2,830","90.4%","-7.2%","4,251.4","-7%","406.3","-3.6%","3,845.2","-7.3%","5.4","23.1","62.5","315.2","930.7","2,683.5","231","99.8%","-10.6%","-2.2%","-4.2%","1.4%","-11.6%","17.9%"
"Charles County","1983","74,271","5","17","51","230","593","1,702","175","2,773","-11.4%","303","10.9%","1.3%","2,470","89.1%","-12.7%","3,733.6","-12.2%","408","0.4%","3,325.7","-13.5%","6.7","22.9","68.7","309.7","798.4","2,291.6","235.6","23.9%","-0.9%","9.9%","-1.8%","-14.2%","-14.6%","2%"
"Charles County","1984","79,140","1","20","45","230","671","1,836","161","2,964","6.9%","296","10%","-2.3%","2,668","90%","8%","3,745.3","0.3%","374","-8.3%","3,371.2","1.4%","1.3","25.3","56.9","290.6","847.9","2,319.9","203.4","-81.2%","10.4%","-17.2%","-6.2%","6.2%","1.2%","-13.7%"
"Charles County","1985","82,603","3","29","54","270","643","1,794","195","2,988","0.8%","356","11.9%","20.3%","2,632","88.1%","-1.3%","3,617.3","-3.4%","431","15.2%","3,186.3","-5.5%","3.6","35.1","65.4","326.9","778.4","2,171.8","236.1","187.4%","38.9%","15%","12.5%","-8.2%","-6.4%","16%"
"Charles County","1986","83,937","2","21","54","306","727","1,964","245","3,319","11.1%","383","11.5%","7.6%","2,936","88.5%","11.6%","3,954.2","9.3%","456.3","5.9%","3,497.9","9.8%","2.4","25","64.3","364.6","866.1","2,339.9","291.9","-34.4%","-28.7%","-1.6%","11.5%","11.3%","7.7%","23.6%"
"Charles County","1987","90,430","4","33","53","401","821","2,207","282","3,801","14.5%","491","12.9%","28.2%","3,310","87.1%","12.7%","4,203.3","6.3%","543","19%","3,660.3","4.6%","4.4","36.5","58.6","443.4","907.9","2,440.6","311.8","85.6%","45.9%","-8.9%","21.6%","4.8%","4.3%","6.8%"
"Charles County","1988","95,856","5","19","58","407","892","2,391","386","4,158","9.4%","489","11.8%","-0.4%","3,669","88.2%","10.8%","4,337.8","3.2%","510.1","-6%","3,827.6","4.6%","5.2","19.8","60.5","424.6","930.6","2,494.4","402.7","17.9%","-45.7%","3.2%","-4.2%","2.5%","2.2%","29.1%"
"Charles County","1989","96,281","9","27","103","472","710","2,488","447","4,256","2.4%","611","14.4%","24.9%","3,645","85.6%","-0.7%","4,420.4","1.9%","634.6","24.4%","3,785.8","-1.1%","9.3","28","107","490.2","737.4","2,584.1","464.3","79.2%","41.5%","76.8%","15.5%","-20.8%","3.6%","15.3%"
"Charles County","1990","101,154","8","28","89","509","843","2,707","457","4,641","9%","634","13.7%","3.8%","4,007","86.3%","9.9%","4,588.1","3.8%","626.8","-1.2%","3,961.3","4.6%","7.9","27.7","88","503.2","833.4","2,676.1","451.8","-15.4%","-1.3%","-17.8%","2.6%","13%","3.6%","-2.7%"
"Charles County","1991","102,814","6","18","129","566","860","3,220","480","5,279","13.7%","719","13.6%","13.4%","4,560","86.4%","13.8%","5,134.5","11.9%","699.3","11.6%","4,435.2","12%","5.8","17.5","125.5","550.5","836.5","3,131.9","466.9","-26.2%","-36.8%","42.6%","9.4%","0.4%","17%","3.3%"
"Charles County","1992","103,829","7","24","119","490","724","3,304","408","5,076","-3.8%","640","12.6%","-11%","4,436","87.4%","-2.7%","4,888.8","-4.8%","616.4","-11.9%","4,272.4","-3.7%","6.7","23.1","114.6","471.9","697.3","3,182.2","393","15.5%","32%","-8.7%","-14.3%","-16.6%","1.6%","-15.8%"
"Charles County","1993","107,103","5","22","100","436","697","3,015","405","4,680","-7.8%","563","12%","-12%","4,117","88%","-7.2%","4,369.6","-10.6%","525.7","-14.7%","3,844","-10%","4.7","20.5","93.4","407.1","650.8","2,815","378.1","-30.8%","-11.1%","-18.5%","-13.7%","-6.7%","-11.5%","-3.8%"
"Charles County","1994","107,983","3","22","129","451","831","3,006","435","4,877","4.2%","605","12.4%","7.5%","4,272","87.6%","3.8%","4,516.5","3.4%","560.3","6.6%","3,956.2","2.9%","2.8","20.4","119.5","417.7","769.6","2,783.8","402.8","-40.5%","-0.8%","27.9%","2.6%","18.3%","-1.1%","6.5%"
"Charles County","1995","110,079","10","37","151","522","948","3,258","474","5,400","10.7%","720","13.3%","19%","4,680","86.7%","9.6%","4,905.6","8.6%","654.1","16.7%","4,251.5","7.5%","9.1","33.6","137.2","474.2","861.2","2,959.7","430.6","227%","65%","14.8%","13.5%","11.9%","6.3%","6.9%"
"Charles County","1996","110,733","11","42","116","477","838","3,140","420","5,044","-6.6%","646","12.8%","-10.3%","4,398","87.2%","-6%","4,555.1","-7.1%","583.4","-10.8%","3,971.7","-6.6%","9.9","37.9","104.8","430.8","756.8","2,835.6","379.3","9.4%","12.8%","-23.6%","-9.2%","-12.1%","-4.2%","-11.9%"
"Charles County","1997","111,212","4","39","135","539","760","3,105","373","4,955","-1.8%","717","14.5%","11%","4,238","85.5%","-3.6%","4,455.5","-2.2%","644.7","10.5%","3,810.7","-4.1%","3.6","35.1","121.4","484.7","683.4","2,792","335.4","-63.8%","-7.5%","15.9%","12.5%","-9.7%","-1.5%","-11.6%"
